activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.61Z,avenue,DU GENERAL LECLERC,PARIS 14,75014,75,POINT (2.323919877762703 48.87737115),2.323919877762703,48.87737115
47.61Z,place,GASTON MENIER,NOISIEL,77186,77,POINT (2.323919877762703 48.87737115),2.323919877762703,48.87737115
47.61Z,rue,LOUIS ETERLET,CHELLES,77500,77,POINT (2.3496113 48.8505562),2.3496113,48.8505562
47.61Z,rue,SERPENTE,PARIS 6,75006,75,POINT (2.3830318 48.8590631),2.3830318,48.8590631
47.61Z,rue,SAINT ANDRE DES ARTS,PARIS 6,75006,75,POINT (2.3206188 48.8799842),2.3206188,48.8799842
47.61Z,rue,DE MONTREUIL,VERSAILLES,78000,78,POINT (2.3078731 48.8434852),2.3078731,48.8434852
47.61Z,rue,MANIN,PARIS 19,75019,75,POINT (2.3672259 48.8520842),2.3672259,48.8520842
47.61Z,rue,DE LA LIBERTE,NOISY-LE-GRAND,93160,93,POINT (2.4712298 48.8098486),2.4712298,48.8098486
47.61Z,rue,DES HOSPIT ST GERVAIS,PARIS 4,75004,75,POINT (2.3388301 48.8665021),2.3388301,48.8665021
47.61Z,rue,JUSSIEU,PARIS 5,75005,75,POINT (2.013867 48.5289861),2.013867,48.5289861
47.61Z,rue,MEISSONIER,PARIS 17,75017,75,POINT (2.3135286904545445 48.8835489),2.3135286904545445,48.8835489
47.61Z,rue,FROCHOT,PARIS 9,75009,75,POINT (2.3444789 48.8770896),2.3444789,48.8770896
47.61Z,avenue,FRANKLIN D ROOSEVELT,PARIS 8,75008,75,POINT (2.3279878 48.8499034),2.3279878,48.8499034
47.61Z,avenue,JEAN JAURES,PARIS 19,75019,75,POINT (2.2416761 48.9379809),2.2416761,48.9379809
47.61Z,rue,DE SEVRES,PARIS 6,75006,75,POINT (2.3434237 48.8584497),2.3434237,48.8584497
47.61Z,rue,DE ROME,PARIS 8,75008,75,POINT (2.2886139 48.834702),2.2886139,48.834702
47.61Z,rue,DE ROME,PARIS 8,75008,75,POINT (2.0392628 48.9290786),2.0392628,48.9290786
47.61Z,rue,MAITRE ALBERT,PARIS 5,75005,75,POINT (2.3336385 48.8303977),2.3336385,48.8303977
47.61Z,rue,SAINT MAUR,PARIS 11,75011,75,POINT (2.3621786 48.8593508),2.3621786,48.8593508
47.61Z,rue,DE CONSTANTINOPLE,PARIS 8,75008,75,POINT (2.0445933 48.7814075),2.0445933,48.7814075
47.61Z,rue,BLOMET,PARIS 15,75015,75,POINT (2.3623965 48.8694767),2.3623965,48.8694767
47.61Z,rue,JACQUES COEUR,PARIS 4,75004,75,POINT (2.4105066 48.8714787),2.4105066,48.8714787
47.61Z,rue,DE LA VARENNE,SAINT-MAUR-DES-FOSSES,94100,94,POINT (2.3729764 48.8367911),2.3729764,48.8367911
47.61Z,rue,VIVIENNE,PARIS 2,75002,75,POINT (2.2294658 48.8626622),2.2294658,48.8626622
47.61Z,rue,SAINT PIERRE,DOURDAN,91410,91,POINT (2.3282671 48.8311573),2.3282671,48.8311573
47.61Z,place,DE LEVIS,PARIS 17,75017,75,POINT (2.3155897 48.8820538),2.3155897,48.8820538
47.61Z,rue,D ASSAS,PARIS 6,75006,75,POINT (2.347009 48.858177),2.347009,48.858177
47.61Z,rue,HENRI BARBUSSE,ARGENTEUIL,95100,95,POINT (2.3150661 48.8579688),2.3150661,48.8579688
47.61Z,rue,DES BOURDONNAIS,PARIS 1,75001,75,POINT (2.3873218 48.8756777),2.3873218,48.8756777
47.61Z,rue,DE LA GAITE,PARIS 14,75014,75,POINT (2.3690997 48.8699799),2.3690997,48.8699799
47.61Z,rue,DE LA GAITE,PARIS 14,75014,75,POINT (2.343631 48.8529342),2.343631,48.8529342
47.61Z,rue,DU HAMEAU,PARIS 15,75015,75,POINT (2.3418973 48.8502815),2.3418973,48.8502815
47.61Z,rue,DE L ABBAYE,POISSY,78300,78,POINT (2.3476813 48.8491745),2.3476813,48.8491745
47.61Z,avenue,RENE COTY,PARIS 14,75014,75,POINT (2.3417802 48.8508083),2.3417802,48.8508083
47.61Z,rue,DE THORIGNY,PARIS 3,75003,75,POINT (3.2965592 48.5607688),3.2965592,48.5607688
47.61Z,quai,FERNAND POUILLON,MONTIGNY-LE-BRETONNEUX,78180,78,POINT (2.3477689 48.8508308),2.3477689,48.8508308
47.61Z,rue,PIERRE FONCIN,PARIS 20,75020,75,POINT (2.3692866 48.8553232),2.3692866,48.8553232
47.61Z,boulevard,VINCENT AURIOL,PARIS 13,75013,75,POINT (2.3543464 48.8492569),2.3543464,48.8492569
47.61Z,allée,DU BORD DE L EAU,PARIS 16,75016,75,POINT (2.3389152 48.8535801),2.3389152,48.8535801
47.61Z,rue,BREZIN,PARIS 14,75014,75,POINT (2.3457031 48.9140692),2.3457031,48.9140692
47.61Z,rue,DE LEVIS,PARIS 17,75017,75,POINT (2.2303729 48.5805968),2.2303729,48.5805968
47.61Z,rue,ST SULPICE,PARIS 6,75006,75,POINT (2.3904079 48.9775581),2.3904079,48.9775581
47.61Z,rue,SAINT DENIS,PARIS 1,75001,75,POINT (2.3421429 48.8485222),2.3421429,48.8485222
47.61Z,rue,DE GRENELLE,PARIS 7,75007,75,POINT (2.3463164 48.8519991),2.3463164,48.8519991
47.61Z,rue,DE LA VILLETTE,PARIS 19,75019,75,POINT (2.342876 48.8496869),2.342876,48.8496869
47.61Z,rue,BICHAT,PARIS 10,75010,75,POINT (2.1311939 48.8068213),2.1311939,48.8068213
47.61Z,boulevard,SAINT MICHEL,PARIS 6,75006,75,POINT (2.1357034 48.8053139),2.1357034,48.8053139
47.61Z,rue,DES CARMES,PARIS 5,75005,75,POINT (2.3515145 48.8377218),2.3515145,48.8377218
47.61Z,rue,DE L ECOLE DE MEDECINE,PARIS 6,75006,75,POINT (2.3895284 48.8739013),2.3895284,48.8739013
47.61Z,rue,DU VAL,PROVINS,77160,77,POINT (2.3892151 48.8745158),2.3892151,48.8745158
47.61Z,rue,DES ANGLAIS,PARIS 5,75005,75,POINT (2.3106608 48.8881083),2.3106608,48.8881083
47.61Z,rue,PIERE BROSSOLETTE,PRESLES,95590,95,POINT (2.124916242408922 48.7992653),2.124916242408922,48.7992653
47.61Z,avenue,JEAN SALMON LEGAGNEUR,VAUCRESSON,92420,92,POINT (2.3616651 48.8679032),2.3616651,48.8679032
47.61Z,rue,AMELOT,PARIS 11,75011,75,POINT (2.2726514 48.8571864),2.2726514,48.8571864
47.61Z,rue,DU CARDINAL LEMOINE,PARIS 5,75005,75,POINT (2.2149828 49.1101927),2.2149828,49.1101927
47.61Z,rue,SAINT ANDRE DES ARTS,PARIS 6,75006,75,POINT (2.347903 48.8885709),2.347903,48.8885709
47.61Z,rue,DU LANDY,SAINT-OUEN-SUR-SEINE,93400,93,POINT (2.1323368 48.8071047),2.1323368,48.8071047
47.61Z,rue,MOLIERE,EGLY,91520,91,POINT (2.3378415 48.88251),2.3378415,48.88251
47.61Z,avenue,PAUL VALERY,SARCELLES,95200,95,POINT (2.3378415 48.88251),2.3378415,48.88251
47.61Z,,ADANSON,PARIS 5,75005,75,POINT (2.3382859 48.8515659),2.3382859,48.8515659
47.61Z,rue,DE JOUY,PARIS 4,75004,75,POINT (2.318765 48.8882843),2.318765,48.8882843
47.61Z,place,DE LA SORBONNE,PARIS 5,75005,75,POINT (2.3550589 48.8492795),2.3550589,48.8492795
47.61Z,rue,SAINT JACQUES,PARIS 5,75005,75,POINT (2.3750256 48.8295117),2.3750256,48.8295117
47.61Z,rue,CHAMPOLLION,PARIS 5,75005,75,POINT (2.5108879 48.8859103),2.5108879,48.8859103
