activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
10.71C,rue,DU LANDY,AUBERVILLIERS,93001,93,POINT (2.297005 48.8791713),48.8791713,2.297005
10.71C,rue,TARBE,PARIS 17,75117,75,POINT (2.4920766 48.6927702),48.6927702,2.4920766
10.71C,rue,DES COURONNES,PARIS 20,75120,75,POINT (2.3758421 48.8246754),48.8246754,2.3758421
10.71C,place,DU 14 JUILLET,SAINT-MAUR-DES-FOSSES,94068,94,POINT (2.3790355 48.8725661),48.8725661,2.3790355
10.71C,boulevard,LEFEBVRE,PARIS 15,75115,75,POINT (2.3430703 48.8720351),48.8720351,2.3430703
10.71C,rue,ROYALE,VERSAILLES,78646,78,POINT (2.2322887 48.991001),48.991001,2.2322887
10.71C,avenue,GEORGES POMPIDOU,GONESSE,95277,95,POINT (2.4049806 48.8595322),48.8595322,2.4049806
10.71C,rue,DE PARIS,MONTREUIL,93048,93,POINT (2.3644444 48.8196076),48.8196076,2.3644444
10.71C,rue,FRANCOIS VILLON,LIVRY-GARGAN,93046,93,POINT (2.2784853 48.8071152),48.8071152,2.2784853
10.71C,avenue,DE LAUMIERE,PARIS 19,75119,75,POINT (2.1814953 48.8736747),48.8736747,2.1814953
10.71C,rue,LA BRUYERE,PARIS 9,75109,75,POINT (2.480025 48.9001754),48.9001754,2.480025
10.71C,place,DE LA FONTAINE,MOISSY-CRAMAYEL,77296,77,POINT (2.1875384 48.8087555),48.8087555,2.1875384
10.71C,rue,DE MONTGERON,BRUNOY,91114,91,POINT (3.2399199 48.8515613),48.8515613,3.2399199
10.71C,rue,DE PATAY,PARIS 13,75113,75,POINT (2.4379419 48.8100959),48.8100959,2.4379419
10.71C,rue,DE BELLEVILLE,PARIS 20,75120,75,POINT (3.3052495 48.7808152),48.7808152,3.3052495
10.71C,rue,DU FAUBOURG MONTMARTRE,PARIS 9,75109,75,POINT (1.9117342 48.9832095),48.9832095,1.9117342
10.71C,rue,SAINT BLAISE,PARIS 20,75120,75,POINT (2.6441559 48.5361282),48.5361282,2.6441559
10.71C,boulevard,MASSENA,PARIS 13,75113,75,POINT (2.3060488 48.8564367),48.8564367,2.3060488
10.71C,rue,BERANGER,CHATILLON,92020,92,POINT (2.0660554 49.0607154),49.0607154,2.0660554
10.71C,rue,DU CHATEAU,RUEIL-MALMAISON,92063,92,POINT (2.4045321 48.8631186),48.8631186,2.4045321
10.71C,rue,SAINT JACQUES,PARIS 5,75105,75,POINT (2.3790698 48.8923365),48.8923365,2.3790698
10.71C,,DU CLOS DES FRANCAIS,MONTREUIL,93048,93,POINT (2.3908221 48.8389263),48.8389263,2.3908221
10.71C,rue,LOUIS AUGUSTE BLANQUI,BONDY,93010,93,POINT (2.1579005 48.9387772),48.9387772,2.1579005
10.71C,avenue,ROGER SALENGRO,CHAVILLE,92022,92,POINT (2.5200155 48.8590557),48.8590557,2.5200155
10.71C,avenue,DE L'INDUSTRIE,REBAIS,77385,77,POINT (2.2933125 48.8561799),48.8561799,2.2933125
10.71C,avenue,GAMBETTA,MAISONS-ALFORT,94046,94,POINT (2.3209346 48.8379461),48.8379461,2.3209346
10.71C,rue,ARISTIDE BRIAND,LES MUREAUX,78440,78,POINT (2.3510906 48.8953716),48.8953716,2.3510906
10.71C,,DE LA VIGNE BLANCHE,LES MUREAUX,78440,78,POINT (2.3829012 48.8746185),48.8746185,2.3829012
10.71C,rue,DES ROSIERS,VERNEUIL-SUR-SEINE,78642,78,POINT (2.909690232779775 48.856949900000004),48.856949900000004,2.909690232779775
10.71C,rue,ARISTIDE BRIAND,LE MEE-SUR-SEINE,77285,77,POINT (2.363049 48.6826783),48.6826783,2.363049
10.71C,rue,DU CHAMP DE MARS,PARIS 7,75107,75,POINT (1.9757378 48.8268148),48.8268148,1.9757378
10.71C,rue,ARISTIDE BRIAND,OSNY,95476,95,POINT (2.3381955 48.9046422),48.9046422,2.3381955
10.71C,rue,PELLEPORT,PARIS 20,75120,75,POINT (1.6779513 49.20501),49.20501,1.6779513
10.71C,rue,DE L OURCQ,PARIS 19,75119,75,POINT (2.5377901 48.9236867),48.9236867,2.5377901
10.71C,avenue,JEAN JAURES,SARTROUVILLE,78586,78,POINT (2.3352895 48.8646418),48.8646418,2.3352895
10.71C,avenue,PAUL DOUMER,NEUILLY-SUR-MARNE,93050,93,POINT (3.2485483 48.5126586),48.5126586,3.2485483
10.71C,avenue,DE SUFFREN,PARIS 15,75115,75,POINT (3.3029908 48.5583524),48.5583524,3.3029908
10.71C,rue,VERCINGETORIX,PARIS 14,75114,75,POINT (2.4088858 48.8650353),48.8650353,2.4088858
10.71C,place,LES COPAINS D ABORD,EVRY-COURCOURONNES,91228,91,POINT (1.8091961 48.7783675),48.7783675,1.8091961
10.71C,rue,DES POISSONNIERS,PARIS 18,75118,75,POINT (2.1665209 48.4334443),48.4334443,2.1665209
10.71C,rue,CHAMPIONNET,PARIS 18,75118,75,POINT (2.3830318 48.8590631),48.8590631,2.3830318
10.71C,avenue,SIMON BOLIVAR,PARIS 19,75119,75,POINT (2.272517 48.9098282),48.9098282,2.272517
10.71C,place,DU MARCHE,CRECY-LA-CHAPELLE,77142,77,POINT (2.4360238 48.8935933),48.8935933,2.4360238
10.71C,rue,DES DAMES,LES CLAYES-SOUS-BOIS,78165,78,POINT (2.3623964 48.8846806),48.8846806,2.3623964
10.71C,rue,DES ROSIERS,SAINT-OUEN-SUR-SEINE,93070,93,POINT (2.304941 48.888517),48.888517,2.304941
10.71C,rue,ROUGET DE L'ISLE,SAINT-CLAIR-SUR-EPTE,95541,95,POINT (2.4015373 48.8599073),48.8599073,2.4015373
10.71C,avenue,CESAR COLLAVERI,LIVRY-GARGAN,93046,93,POINT (2.4360238 48.8935933),48.8935933,2.4360238
10.71C,avenue,DE L AQUEDUC,LA CELLE-SAINT-CLOUD,78126,78,POINT (2.4864453 48.7166469),48.7166469,2.4864453
10.71C,place,DU COMTE DE BENDERN,LA CELLE-SAINT-CLOUD,78126,78,POINT (2.4188752 48.8721701),48.8721701,2.4188752
10.71C,rue,MOLIERE,PARIS 1,75101,75,POINT (2.567482 48.6642595),48.6642595,2.567482
10.71C,rue,MARCEL RIGNAULT,LONGUEVILLE,77260,77,POINT (2.567912 49.0695468),49.0695468,2.567912
10.71C,rue,VICTOR ARNOUL,PROVINS,77379,77,POINT (2.5449994 48.7026452),48.7026452,2.5449994
10.71C,boulevard,MORTIER,PARIS 20,75120,75,POINT (2.2834513 48.859108),48.859108,2.2834513
10.71C,rue,DE VERSAILLES,MONTFORT L'AMAURY,78420,78,POINT (2.8105498 48.3744979),48.3744979,2.8105498
10.71C,rue,DE LA REPUBLIQUE,ETAMPES,91223,91,POINT (2.3071401 48.8369634),48.8369634,2.3071401
10.71C,rue,SAINT MAUR,PARIS 11,75111,75,POINT (2.2407313 48.8807206),48.8807206,2.2407313
10.71C,rue,DES BOURGUIGNONS,ASNIERES-SUR-SEINE,92004,92,POINT (2.1844595 48.7563328),48.7563328,2.1844595
10.71C,avenue,GASTON ROUSSEL,ROMAINVILLE,93063,93,POINT (2.1844595 48.7563328),48.7563328,2.1844595
