activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.22Z,avenue,ELISEE RECLUS,PIERREFITTE-SUR-SEINE,93059,93,POINT (1.9774008033818626 48.87630785),48.87630785,1.9774008033818626
47.22Z,avenue,DU GENERAL DE GAULLE,NEUILLY-SUR-MARNE,93050,93,POINT (2.1311939 48.8068213),48.8068213,2.1311939
47.22Z,boulevard,MACDONALD,PARIS 19,75119,75,POINT (1.7009898225753015 48.83886765),48.83886765,1.7009898225753015
47.22Z,place,DE LA COMMUNE,EVRY-COURCOURONNES,91228,91,POINT (2.5272166 48.8125878),48.8125878,2.5272166
47.22Z,boulevard,DE VERDUN,FONTENAY-SOUS-BOIS,94033,94,POINT (2.5712048 48.8112726),48.8112726,2.5712048
47.22Z,avenue,DE LA REPUBLIQUE,CHOISY-LE-ROI,94022,94,POINT (2.0911899 48.8965644),48.8965644,2.0911899
47.22Z,rue,EMBARQUEMENT,CERGY,95127,95,POINT (2.3100843 48.7686612),48.7686612,2.3100843
47.22Z,rue,DE BAGNOLET,PARIS 20,75120,75,POINT (2.2911093 48.7788825),48.7788825,2.2911093
47.22Z,rue,DE MONTREUIL,VERSAILLES,78646,78,POINT (2.4428684 48.8487953),48.8487953,2.4428684
47.22Z,avenue,VICTOR HUGO,SAINTE-GENEVIEVE-DES-BOIS,91549,91,POINT (2.3517804 48.8879332),48.8879332,2.3517804
47.22Z,avenue,HENRI BARBUSSE,DRANCY,93029,93,POINT (2.2097441 49.0230308),49.0230308,2.2097441
47.22Z,place,DE L EGLISE,LE VESINET,78650,78,POINT (2.3663373 48.8330305),48.8330305,2.3663373
47.22Z,rue,CAMBRONNE,PARIS 15,75115,75,POINT (2.5170946 48.9080014),48.9080014,2.5170946
47.22Z,avenue,DES SCIENCES,CHELLES,77108,77,POINT (2.5193108 48.9101097),48.9101097,2.5193108
47.22Z,rue,DE LANCRY,PARIS 10,75110,75,POINT (2.4003457 48.8515884),48.8515884,2.4003457
47.22Z,avenue,THEODORE MONOD,TAVERNY,95607,95,POINT (2.5143079 48.909692),48.909692,2.5143079
47.22Z,avenue,PAUL PAINLEVE,VILLENEUVE-LE-ROI,94077,94,POINT (2.3806032 48.9598532),48.9598532,2.3806032
47.22Z,avenue,STALINGRAD,FRESNES,94034,94,POINT (2.0709851 48.9625685),48.9625685,2.0709851
47.22Z,rue,DALAYRAC,FONTENAY-SOUS-BOIS,94033,94,POINT (2.3662959 48.7969151),48.7969151,2.3662959
47.22Z,rue,DE L'OLIVE,PARIS 18,75118,75,POINT (2.1875384 48.8087555),48.8087555,2.1875384
47.22Z,,DE MONTESSON,LE VESINET,78650,78,POINT (2.3830466 48.9760993),48.9760993,2.3830466
47.22Z,boulevard,SERURIER,PARIS 19,75119,75,POINT (2.3742925 48.8526821),48.8526821,2.3742925
47.22Z,rue,CAMBRONNE,PARIS 15,75115,75,POINT (2.2271394 48.8693057),48.8693057,2.2271394
47.22Z,place,DE LA GARE,RIS-ORANGIS,91521,91,POINT (2.1245517519609773 48.624615750000004),48.624615750000004,2.1245517519609773
47.22Z,rue,BREA,PARIS 6,75106,75,POINT (2.229885 48.834269),48.834269,2.229885
47.22Z,rue,ADOLPHE PAJEAUD,ANTONY,92002,92,POINT (3.0755747 49.0905488),49.0905488,3.0755747
47.22Z,avenue,MAL DE LATTRE DE TASSIGNY,CACHAN,94016,94,POINT (2.2793832 48.8268132),48.8268132,2.2793832
47.22Z,rue,CARNOT,MONTMORENCY,95428,95,POINT (1.9945371 48.3487632),48.3487632,1.9945371
47.22Z,rue,DU BOIS GASSEAU,SAMOREAU,77442,77,POINT (2.3126328 48.7539324),48.7539324,2.3126328
47.22Z,rue,DE PARIS,LES LILAS,93045,93,POINT (2.3845749 48.8453562),48.8453562,2.3845749
47.22Z,rue,DU FBG SAINT DENIS,PARIS 10,75110,75,POINT (2.3024139 48.8312067),48.8312067,2.3024139
47.22Z,boulevard,HENRI BARBUSSE,DRAVEIL,91201,91,POINT (2.3133308 48.8102132),48.8102132,2.3133308
47.22Z,,GAUTHIER,PARIS 19,75119,75,POINT (2.3619753 48.8813376),48.8813376,2.3619753
47.22Z,avenue,EDOUARD VAILLANT,PANTIN,93055,93,POINT (2.2994867 48.893422),48.893422,2.2994867
47.22Z,avenue,HENRI BARBUSSE,L'HAY-LES-ROSES,94038,94,POINT (2.4552995 48.8910254),48.8910254,2.4552995
47.22Z,avenue,FRIDENGEN,NANTEUIL-LES-MEAUX,77330,77,POINT (2.4891572 49.0049356),49.0049356,2.4891572
47.22Z,rue,HENRI BARBUSSE,MONTFERMEIL,93047,93,POINT (2.3913424 48.87786),48.87786,2.3913424
47.22Z,rue,ROGER SALENGRO,BONDY,93010,93,POINT (2.2763195 48.8576543),48.8576543,2.2763195
47.22Z,rue,DE MEAUX,PARIS 19,75119,75,POINT (2.4178635 48.9737907),48.9737907,2.4178635
47.22Z,avenue,DE LA REPUBLIQUE,VIRY-CHATILLON,91687,91,POINT (2.3819284 48.9568081),48.9568081,2.3819284
47.22Z,place,DE L EGLISE,GUYANCOURT,78297,78,POINT (2.511669 48.8144099),48.8144099,2.511669
47.22Z,,NATIONALE 370,GONESSE,95277,95,POINT (3.1337018 48.4778239),48.4778239,3.1337018
47.22Z,allée,DE COLMAR,ROSNY-SOUS-BOIS,93064,93,POINT (2.4115835 48.849676),48.849676,2.4115835
47.22Z,boulevard,DE LA SEINE,NANTERRE,92050,92,POINT (2.3988495 48.8185932),48.8185932,2.3988495
47.22Z,rue,DE L ABONDANCE,CERGY,95127,95,POINT (2.3988495 48.8185932),48.8185932,2.3988495
47.22Z,rue,DU DOME,BOULOGNE-BILLANCOURT,92012,92,POINT (2.3761991 48.8731198),48.8731198,2.3761991
47.22Z,rue,CONDORCET,PARIS 9,75109,75,POINT (2.1866194 48.8386459),48.8386459,2.1866194
47.22Z,rue,DE MARSEILLE,EPINAY-SUR-SEINE,93031,93,POINT (2.2647289 49.1578517),49.1578517,2.2647289
47.22Z,chaussée,JULES CESAR,SAINT OUEN L'AUMONE,95572,95,POINT (2.2911093 48.7788825),48.7788825,2.2911093
47.22Z,rue,DEZOBRY,SAINT-DENIS,93066,93,POINT (2.0523552 48.9306561),48.9306561,2.0523552
47.22Z,rue,DE SIAM,PARIS 16,75116,75,POINT (2.3080643 48.9174091),48.9174091,2.3080643
47.22Z,rue,FALGUIERE,PARIS 15,75115,75,POINT (2.2591965 48.9992708),48.9992708,2.2591965
47.22Z,avenue,DU GENERAL GALLIENI,VILLEMOMBLE,93077,93,POINT (2.4162873 48.7772313),48.7772313,2.4162873
47.22Z,rue,DU BOIS DE LA FONTAINE,ANGERVILLE,91016,91,POINT (2.3509121 48.8868577),48.8868577,2.3509121
47.22Z,rue,DE LA COURNEUVE,AUBERVILLIERS,93001,93,POINT (2.955601 48.3865657),48.3865657,2.955601
47.22Z,rue,DE PARIS,CLICHY,92024,92,POINT (2.5114758 48.950124),48.950124,2.5114758
47.22Z,place,DU GENERAL LECLERC,CHATEAU-LANDON,77099,77,POINT (2.3385713 48.8908002),48.8908002,2.3385713
47.22Z,rue,DE MEAUX,PARIS 19,75119,75,POINT (2.0753105211607235 48.9692388),48.9692388,2.0753105211607235
47.22Z,avenue,DU 8 MAI 1945,VARENNES-SUR-SEINE,77482,77,POINT (2.3988438 48.9595645),48.9595645,2.3988438
47.22Z,rue,DE L AGRICULTURE,BEZONS,95063,95,POINT (2.5515922 48.8872324),48.8872324,2.5515922
47.22Z,rue,GRANDE RUE,EZANVILLE,95229,95,POINT (2.4664466 48.7480587),48.7480587,2.4664466
47.22Z,rue,DU NIL,PARIS 2,75102,75,POINT (2.297005 48.8791713),48.8791713,2.297005
47.22Z,rue,DES MOINES,PARIS 17,75117,75,POINT (2.3552126 48.8492733),48.8492733,2.3552126
47.22Z,avenue,DU CHATEAU,SAINT-MAUR-DES-FOSSES,94068,94,POINT (2.2675037 48.847567),48.847567,2.2675037
47.22Z,rue,RAMEY,PARIS 18,75118,75,POINT (2.3095767 48.9723791),48.9723791,2.3095767
47.22Z,rue,DU POINT DU JOUR,BOULOGNE-BILLANCOURT,92012,92,POINT (2.3155897 48.8820538),48.8820538,2.3155897
47.22Z,rue,EDOUARD PAILLERON,PARIS 19,75119,75,POINT (2.2850766 48.9067382),48.9067382,2.2850766
47.22Z,rue,DE LA HAUTE BORNE,DRANCY,93029,93,POINT (2.2422811 48.8785122),48.8785122,2.2422811
47.22Z,avenue,D'ITALIE,PARIS 13,75113,75,POINT (2.3103189 48.9684537),48.9684537,2.3103189
47.22Z,place,GEORGES POMPIDOU,NOISY-LE-GRAND,93051,93,POINT (2.1310704 48.8063373),48.8063373,2.1310704
47.22Z,avenue,SADI CARNOT,SAULX-LES-CHARTREUX,91587,91,POINT (2.242785029377729 48.7121779),48.7121779,2.242785029377729
