activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.73Z,rue,DU RANELAGH,PARIS 16,75016,75,POINT (2.4077936 48.74469),2.4077936,48.74469
47.73Z,boulevard,MORTIER,PARIS 20,75020,75,POINT (2.2941185 48.7348502),2.2941185,48.7348502
47.73Z,place,JEAN SPIRE LEMAITRE,VINCENNES,94300,94,POINT (2.2206961 48.869572),2.2206961,48.869572
47.73Z,rue,DE STRASBOURG,SAINT-DENIS,93200,93,POINT (2.4360238 48.8935933),2.4360238,48.8935933
47.73Z,boulevard,DE STALINGRAD,THIAIS,94320,94,POINT (2.3650134 48.8215704),2.3650134,48.8215704
47.73Z,rue,PIERRE ET MARIE CURIE,CLAMART,92140,92,POINT (2.2364594 48.810429),2.2364594,48.810429
47.73Z,rue,DE LOURMEL,PARIS 15,75015,75,POINT (2.3314386643304004 48.93772885),2.3314386643304004,48.93772885
47.73Z,avenue,DE LA PRINCESSE,LE VESINET,78110,78,POINT (2.2303729 48.5805968),2.2303729,48.5805968
47.73Z,rue,LOUIS AUGUSTE BLANQUI,BONDY,93140,93,POINT (2.2690982 48.9001945),2.2690982,48.9001945
47.73Z,rue,DE MARNE,POMPONNE,77400,77,POINT (1.8365403 48.5155333),1.8365403,48.5155333
47.73Z,rue,GOUNOD,SAINT-CLOUD,92210,92,POINT (2.2348182 48.9053796),2.2348182,48.9053796
47.73Z,,JOLIOT CURIE,ARGENTEUIL,95100,95,POINT (2.4592867 48.8148421),2.4592867,48.8148421
47.73Z,rue,DU GENERAL LECLERC,MORANGIS,91420,91,POINT (2.2773875 48.8803032),2.2773875,48.8803032
47.73Z,rue,DE PARIS,TAVERNY,95150,95,POINT (2.9026464 48.9423076),2.9026464,48.9423076
47.73Z,rue,DE FONTENAY,VINCENNES,94300,94,POINT (2.2790659 48.8463904),2.2790659,48.8463904
47.73Z,rue,D'AMSTERDAM,PARIS 8,75008,75,POINT (2.3139178 48.8891416),2.3139178,48.8891416
47.73Z,,DE VILPERT,LES BREVIAIRES,78610,78,POINT (2.2933125 48.8561799),2.2933125,48.8561799
47.73Z,rue,MAURICE BERTEAUX,CONFLANS-SAINTE-HONORINE,78700,78,POINT (2.3628364 48.7131129),2.3628364,48.7131129
47.73Z,avenue,DU VAST,JOUY-LE-MOUTIER,95280,95,POINT (2.3628364 48.7131129),2.3628364,48.7131129
47.73Z,rue,FELICIE,GENNEVILLIERS,92230,92,POINT (2.4178635 48.9737907),2.4178635,48.9737907
47.73Z,avenue,JEAN JAURES,PANTIN,93500,93,POINT (2.401874 48.9150958),2.401874,48.9150958
47.73Z,avenue,PAUL VAILLANT-COUTURIER,VITRY-SUR-SEINE,94400,94,POINT (2.3907502 48.9025448),2.3907502,48.9025448
47.73Z,avenue,DE LA COUR DE FRANCE,JUVISY-SUR-ORGE,91260,91,POINT (2.2896345 48.8323435),2.2896345,48.8323435
47.73Z,avenue,DU GENERAL DE GAULLE,VINCENNES,94300,94,POINT (2.3596042 48.8858631),2.3596042,48.8858631
47.73Z,avenue,DU GENERAL DE GAULLE,VINCENNES,94300,94,POINT (2.308567 48.8129324),2.308567,48.8129324
47.73Z,rue,BOUCICAUT,FONTENAY-AUX-ROSES,92260,92,POINT (2.3709431 48.8523901),2.3709431,48.8523901
47.73Z,rue,SAUSSURE,CRETEIL,94000,94,POINT (2.3667114 48.8985633),2.3667114,48.8985633
47.73Z,rue,ROBERT LAPORTE,THIAIS,94320,94,POINT (2.3725465 48.8923583),2.3725465,48.8923583
47.73Z,place,DES PRES HAUTS,VERRIERES-LE-BUISSON,91370,91,POINT (2.2668161 48.634367),2.2668161,48.634367
47.73Z,rue,DE LA LIBERATION,TOURNAN-EN-BRIE,77220,77,POINT (2.388057 48.8832246),2.388057,48.8832246
47.73Z,avenue,JEAN MOULIN,PARIS 14,75014,75,POINT (1.7874191 49.1554195),1.7874191,49.1554195
47.73Z,rue,DE RIVOLI,PARIS 1,75001,75,POINT (2.1105889 49.0112005),2.1105889,49.0112005
47.73Z,rue,DE PARIS,CHAMPS-SUR-MARNE,77420,77,POINT (2.3150661 48.8579688),2.3150661,48.8579688
47.73Z,avenue,NAPOLEON BONAPARTE,RUEIL-MALMAISON,92500,92,POINT (2.5643785 48.8493201),2.5643785,48.8493201
