activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
10.71C,avenue,DU PARC ,LEUVILLE-SUR-ORGE,91310,91,POINT (48.854373 2.4154122),2.4154122,48.854373
10.71C,place,DU ONZE NOVEMBRE,MALAKOFF,92240,92,POINT (48.8483006 2.2971334),2.2971334,48.8483006
10.71C,rue,RODIER,PARIS 9,75009,75,POINT (48.8596635 2.3788832),2.3788832,48.8596635
10.71C,rue,JEAN JAURES,PUTEAUX,92800,92,POINT (48.7752971 1.9989659),1.9989659,48.7752971
10.71C,rue,MARGUERITE DE ROCHECHOUART,PARIS 9,75009,75,POINT (48.952105 2.1940756),2.1940756,48.952105
10.71C,boulevard,DE LA REPUBLIQUE,NOISY-LE-SEC,93130,93,POINT (48.8793365 2.4130916),2.4130916,48.8793365
10.71C,rue,SADI CARNOT,VANVES,92170,92,POINT (48.8918605 2.4550821),2.4550821,48.8918605
10.71C,rue,DU LIEUTENANT DAGORNO,VILLECRESNES,94440,94,POINT (48.6884298 2.3848464),2.3848464,48.6884298
10.71C,rue,SERGENT MAGINOT,PARIS 16,75016,75,POINT (48.901837 2.5715246),2.5715246,48.901837
10.71C,rue,MORTINAT,ASNIERES-SUR-SEINE,92600,92,POINT (48.8545426 2.36855),2.36855,48.8545426
10.71C,,DE LA REINE,BOULOGNE-BILLANCOURT,92100,92,POINT (48.8582362 2.3475022),2.3475022,48.8582362
10.71C,avenue,RENE PIERRE,CORBEIL-ESSONNES,91100,91,POINT (48.9984523 2.1103839),2.1103839,48.9984523
10.71C,boulevard,VICTOR DUHAMEL,MANTES-LA-JOLIE,78200,78,POINT (48.8276982 2.3501272),2.3501272,48.8276982
10.71C,rue,ETIENNE DOLET,ALFORTVILLE,94140,94,POINT (48.8300236 2.3547338),2.3547338,48.8300236
10.71C,place,DE L'APPEL DU 10 JUILLET 1940,VALENTON,94460,94,POINT (48.8515884 2.4003457),2.4003457,48.8515884
10.71C,rue,CUSTINE,PARIS 18,75018,75,POINT (48.821546 1.9780407),1.9780407,48.821546
10.71C,boulevard,SAINT MARCEL,PARIS 5,75005,75,POINT (48.898052 2.288478),2.288478,48.898052
10.71C,boulevard,DE REUILLY,PARIS 12,75012,75,POINT (48.8464955 2.4168947),2.4168947,48.8464955
