activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.61Z,boulevard,SAINT MICHEL,PARIS 6,75106,75,POINT (2.343631 48.8529342),2.343631,48.8529342
47.61Z,rue,ROUVET,PARIS 19,75119,75,POINT (2.3829147 48.8943485),2.3829147,48.8943485
47.61Z,boulevard,HAUSSMANN,PARIS 8,75108,75,POINT (2.3386282 48.872335),2.3386282,48.872335
47.61Z,avenue,JEAN AICARD,PARIS 11,75111,75,POINT (2.3809327 48.8653394),2.3809327,48.8653394
47.61Z,rue,DU SOMMERARD,PARIS 5,75105,75,POINT (2.3473226 48.8497238),2.3473226,48.8497238
47.61Z,rue,TOURNEFORT,PARIS 5,75105,75,POINT (2.3482304 48.8419935),2.3482304,48.8419935
47.61Z,rue,DES FOSSES ST JACQUES,PARIS 5,75105,75,POINT (2.3440061 48.845788),2.3440061,48.845788
47.61Z,rue,DU MARECHAL FOCH,LE VESINET,78650,78,POINT (2.1345453 48.8921846),2.1345453,48.8921846
47.61Z,rue,DE GRENELLE,PARIS 7,75107,75,POINT (2.3150661 48.8579688),2.3150661,48.8579688
47.61Z,rue,D ODESSA,PARIS 14,75114,75,POINT (2.3244649 48.8423085),2.3244649,48.8423085
47.61Z,rue,DE CHARONNE,PARIS 11,75111,75,POINT (2.3742925 48.8526821),2.3742925,48.8526821
47.61Z,rue,CASIMIR DELAVIGNE,PARIS 6,75106,75,POINT (2.3392533 48.850576),2.3392533,48.850576
47.61Z,rue,GASTON GALLIMARD,PARIS 7,75107,75,POINT (2.3285446 48.8569529),2.3285446,48.8569529
47.61Z,boulevard,RASPAIL,PARIS 7,75107,75,POINT (2.3259767 48.8552051),2.3259767,48.8552051
47.61Z,rue,JACOB,PARIS 6,75106,75,POINT (2.3362217 48.8547705),2.3362217,48.8547705
47.61Z,avenue,DU GENERAL LECLERC,PARIS 14,75114,75,POINT (2.3308864 48.8327946),2.3308864,48.8327946
47.61Z,place,GASTON MENIER,NOISIEL,77337,77,POINT (2.6268233 48.8563433),2.6268233,48.8563433
47.61Z,rue,LOUIS ETERLET,CHELLES,77108,77,POINT (2.5891332 48.8787492),2.5891332,48.8787492
47.61Z,rue,SERPENTE,PARIS 6,75106,75,POINT (2.343246 48.8518873),2.343246,48.8518873
47.61Z,rue,SAINT ANDRE DES ARTS,PARIS 6,75106,75,POINT (2.3389152 48.8535801),2.3389152,48.8535801
47.61Z,rue,DE MONTREUIL,VERSAILLES,78646,78,POINT (2.1444899 48.8049459),2.1444899,48.8049459
47.61Z,rue,MANIN,PARIS 19,75119,75,POINT (2.3822691 48.8823641),2.3822691,48.8823641
47.61Z,rue,DE LA LIBERTE,NOISY-LE-GRAND,93051,93,POINT (2.5789292 48.8273121),2.5789292,48.8273121
47.61Z,rue,JUSSIEU,PARIS 5,75105,75,POINT (2.3553838 48.845933),2.3553838,48.845933
47.61Z,rue,MEISSONIER,PARIS 17,75117,75,POINT (2.3044482 48.8834212),2.3044482,48.8834212
47.61Z,rue,FROCHOT,PARIS 9,75109,75,POINT (2.3376852 48.8810319),2.3376852,48.8810319
47.61Z,avenue,JEAN JAURES,PARIS 19,75119,75,POINT (2.372803 48.8836109),2.372803,48.8836109
