activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.22Z,rue,SADI CARNOT,BAGNOLET,93006,93,POINT (2.4231014 48.874867),2.4231014,48.874867
47.22Z,avenue,PAUL VAILLANT COUTURIER,LA COURNEUVE,93027,93,POINT (2.4090223 48.9194522),2.4090223,48.9194522
47.22Z,rue,DANTON,MONTREUIL,93048,93,POINT (2.4514393 48.8652391),2.4514393,48.8652391
47.22Z,rue,JULES JOURDAIN,POISSY,78498,78,POINT (2.0014003 48.9134263),2.0014003,48.9134263
47.22Z,boulevard,STRASBOURG,AULNAY-SOUS-BOIS,93005,93,POINT (2.4878426 48.9253499),2.4878426,48.9253499
47.22Z,rue,DU RENDEZ VOUS,PARIS 12,75112,75,POINT (2.4045488 48.8452752),2.4045488,48.8452752
47.22Z,avenue,DU MARECHAL JOFFRE,ARGENTEUIL,95018,95,POINT (2.2336099 48.9659218),2.2336099,48.9659218
47.22Z,rue,DU PONT DES LANDES,COIGNIERES,78168,78,POINT (1.9088191 48.7374261),1.9088191,48.7374261
47.22Z,rue,JEAN JAURES,MARINES,95370,95,POINT (1.9822171 49.1443473),1.9822171,49.1443473
47.22Z,rue,VICTOR HUGO,COLOMBES,92025,92,POINT (2.2709052 48.9177944),2.2709052,48.9177944
47.22Z,avenue,DE LA REPUBLIQUE,EPINAY-SUR-SEINE,93031,93,POINT (2.324693 48.950712),2.324693,48.950712
47.22Z,boulevard,GALLIENI,VILLENEUVE-LA-GARENNE,92078,92,POINT (2.3266931 48.9257441),2.3266931,48.9257441
47.22Z,avenue,ALBERT SARRAUT,GOUSSAINVILLE,95280,95,POINT (2.4591834 49.0315702),2.4591834,49.0315702
47.22Z,avenue,ANDRE AMPERE,DAMMARIE-LES-LYS,77152,77,POINT (2.6074027 48.5066808),2.6074027,48.5066808
47.22Z,rue,JEAN JAURES,PUTEAUX,92062,92,POINT (2.2449169 48.8839432),2.2449169,48.8839432
47.22Z,rue,D ALIGRE,PARIS 12,75112,75,POINT (2.3776502 48.8482587),2.3776502,48.8482587
47.22Z,boulevard,ORNANO,PARIS 18,75118,75,POINT (2.3487987 48.8929343),2.3487987,48.8929343
47.22Z,rue,DE TANGER,PARIS 19,75119,75,POINT (2.3683392 48.885821),2.3683392,48.885821
47.22Z,rue,VOLTAIRE,LEVALLOIS-PERRET,92044,92,POINT (2.2846059 48.8921019),2.2846059,48.8921019
47.22Z,place,DU QUINCONCE,GRIGNY,91286,91,POINT (2.371521449091407 48.652630450000004),2.371521449091407,48.652630450000004
